cancertype,symbol,a_total,d_total,a_hete,d_hete,a_homo,d_homo,entrez
ACC,FERMT1,52.2222222,13.3333333,51.1111111,12.2222222,1.1111111,1.1111111,55612
ACC,FERMT2,22.2222222,21.1111111,22.2222222,21.1111111,0,0,10979
ACC,FERMT3,7.7777778,26.6666667,7.7777778,26.6666667,0,0,83706
BLCA,FERMT1,47.7941176,9.0686275,47.5490196,8.8235294,0.245098,0.245098,55612
BLCA,FERMT2,16.6666667,30.1470588,16.6666667,30.1470588,0,0,10979
BLCA,FERMT3,22.7941176,21.3235294,21.3235294,21.3235294,1.4705882,0,83706
BRCA,FERMT1,35.7407407,13.0555556,35.1851852,12.8703704,0.5555556,0.1851852,55612
BRCA,FERMT2,16.6666667,25.0925926,15.2777778,25.0925926,1.3888889,0,10979
BRCA,FERMT3,16.6666667,22.3148148,15.9259259,22.037037,0.7407407,0.2777778,83706
CESC,FERMT1,34.2372881,8.8135593,32.8813559,8.4745763,1.3559322,0.3389831,55612
CESC,FERMT2,16.6101695,12.5423729,15.2542373,12.2033898,1.3559322,0.3389831,10979
CESC,FERMT3,8.8135593,23.3898305,8.4745763,23.3898305,0.3389831,0,83706
CHOL,FERMT1,27.7777778,13.8888889,27.7777778,13.8888889,0,0,55612
CHOL,FERMT2,5.5555556,41.6666667,5.5555556,41.6666667,0,0,10979
CHOL,FERMT3,11.1111111,25,8.3333333,25,2.7777778,0,83706
COAD,FERMT1,44.789357,17.9600887,44.1241685,17.7383592,0.6651885,0.2217295,55612
COAD,FERMT2,8.4257206,31.0421286,8.4257206,31.0421286,0,0,10979
COAD,FERMT3,10.421286,14.1906874,10.421286,13.9689579,0,0.2217295,83706
DLBC,FERMT1,12.5,0,10.4166667,0,2.0833333,0,55612
DLBC,FERMT2,6.25,4.1666667,4.1666667,4.1666667,2.0833333,0,10979
DLBC,FERMT3,18.75,4.1666667,18.75,4.1666667,0,0,83706
ESCA,FERMT1,53.8043478,15.2173913,51.6304348,15.2173913,2.173913,0,55612
ESCA,FERMT2,31.5217391,23.9130435,30.4347826,23.9130435,1.0869565,0,10979
ESCA,FERMT3,29.3478261,18.4782609,28.8043478,18.4782609,0.5434783,0,83706
GBM,FERMT1,38.8214905,3.1195841,38.8214905,3.1195841,0,0,55612
GBM,FERMT2,3.9861352,27.729636,3.9861352,27.729636,0,0,10979
GBM,FERMT3,2.9462738,16.8110919,2.7729636,16.8110919,0.1733102,0,83706
HNSC,FERMT1,36.3984674,10.9195402,35.2490421,10.7279693,1.1494253,0.1915709,55612
HNSC,FERMT2,30.651341,10.7279693,29.1187739,10.7279693,1.532567,0,10979
HNSC,FERMT3,26.6283525,14.7509579,24.5210728,14.3678161,2.1072797,0.3831418,83706
KICH,FERMT1,31.8181818,6.0606061,30.3030303,6.0606061,1.5151515,0,55612
KICH,FERMT2,31.8181818,3.030303,31.8181818,3.030303,0,0,10979
KICH,FERMT3,25.7575758,10.6060606,25.7575758,10.6060606,0,0,83706
KIRC,FERMT1,21.2121212,1.7045455,21.0227273,1.7045455,0.1893939,0,55612
KIRC,FERMT2,3.030303,41.4772727,2.8409091,41.2878788,0.1893939,0.1893939,10979
KIRC,FERMT3,6.25,3.4090909,6.25,3.4090909,0,0,83706
KIRP,FERMT1,34.0277778,1.0416667,33.6805556,0.6944444,0.3472222,0.3472222,55612
KIRP,FERMT2,0.6944444,16.3194444,0.6944444,16.3194444,0,0,10979
KIRP,FERMT3,3.125,5.5555556,3.125,5.5555556,0,0,83706
LAML,FERMT1,1.0471204,0,1.0471204,0,0,0,55612
LAML,FERMT2,1.0471204,0,1.0471204,0,0,0,10979
LAML,FERMT3,3.1413613,0,3.1413613,0,0,0,83706
LGG,FERMT1,9.1617934,1.3645224,8.7719298,1.3645224,0.3898635,0,55612
LGG,FERMT2,1.3645224,16.5692008,1.1695906,16.374269,0.1949318,0.1949318,10979
LGG,FERMT3,8.9668616,4.4834308,8.9668616,4.4834308,0,0,83706
LIHC,FERMT1,29.7297297,7.2972973,29.1891892,7.2972973,0.5405405,0,55612
LIHC,FERMT2,8.1081081,28.3783784,7.5675676,28.3783784,0.5405405,0,10979
LIHC,FERMT3,5.6756757,18.1081081,5.6756757,17.8378378,0,0.2702703,83706
LUAD,FERMT1,32.9457364,25.9689922,31.9767442,25.3875969,0.9689922,0.5813953,55612
LUAD,FERMT2,31.5891473,21.8992248,28.875969,21.7054264,2.7131783,0.1937984,10979
LUAD,FERMT3,25.9689922,16.0852713,25.3875969,15.8914729,0.5813953,0.1937984,83706
LUSC,FERMT1,54.2914172,8.7824351,51.0978044,8.7824351,3.1936128,0,55612
LUSC,FERMT2,26.1477046,36.7265469,25.1497006,36.5269461,0.998004,0.1996008,10979
LUSC,FERMT3,23.752495,20.1596806,23.5528942,19.9600798,0.1996008,0.1996008,83706
MESO,FERMT1,9.1954023,19.5402299,9.1954023,19.5402299,0,0,55612
MESO,FERMT2,2.2988506,42.5287356,2.2988506,41.3793103,0,1.1494253,10979
MESO,FERMT3,19.5402299,1.1494253,19.5402299,1.1494253,0,0,83706
OV,FERMT1,53.3678756,13.1260794,45.7685665,12.9533679,7.5993092,0.1727116,55612
OV,FERMT2,14.1623489,41.9689119,13.298791,41.7962003,0.8635579,0.1727116,10979
OV,FERMT3,26.0794473,20.3799655,24.6977547,20.3799655,1.3816926,0,83706
PAAD,FERMT1,16.3043478,13.5869565,16.3043478,13.0434783,0,0.5434783,55612
PAAD,FERMT2,15.2173913,9.2391304,15.2173913,9.2391304,0,0,10979
PAAD,FERMT3,7.6086957,8.1521739,7.6086957,7.6086957,0,0.5434783,83706
PCPG,FERMT1,6.7901235,2.4691358,6.7901235,2.4691358,0,0,55612
PCPG,FERMT2,4.3209877,12.962963,3.7037037,12.962963,0.617284,0,10979
PCPG,FERMT3,2.4691358,21.6049383,1.8518519,21.6049383,0.617284,0,83706
PRAD,FERMT1,4.8780488,5.6910569,4.8780488,5.0813008,0,0.6097561,55612
PRAD,FERMT2,3.0487805,6.097561,2.6422764,6.097561,0.4065041,0,10979
PRAD,FERMT3,7.3170732,1.4227642,7.1138211,1.0162602,0.203252,0.4065041,83706
READ,FERMT1,48.4848485,29.0909091,48.4848485,29.0909091,0,0,55612
READ,FERMT2,6.6666667,39.3939394,6.6666667,39.3939394,0,0,10979
READ,FERMT3,14.5454545,22.4242424,14.5454545,22.4242424,0,0,83706
SARC,FERMT1,23.3463035,25.2918288,21.4007782,24.9027237,1.9455253,0.3891051,55612
SARC,FERMT2,21.7898833,28.0155642,21.0116732,28.0155642,0.7782101,0,10979
SARC,FERMT3,12.8404669,24.5136187,12.8404669,24.5136187,0,0,83706
SKCM,FERMT1,39.2370572,8.9918256,38.6920981,8.719346,0.5449591,0.2724796,55612
SKCM,FERMT2,12.8065395,30.5177112,12.2615804,30.5177112,0.5449591,0,10979
SKCM,FERMT3,12.2615804,34.0599455,11.4441417,33.7874659,0.8174387,0.2724796,83706
STAD,FERMT1,52.8344671,6.5759637,51.7006803,6.3492063,1.1337868,0.2267574,55612
STAD,FERMT2,9.5238095,26.0770975,8.3900227,25.8503401,1.1337868,0.2267574,10979
STAD,FERMT3,16.0997732,12.4716553,16.0997732,12.244898,0,0.2267574,83706
TGCT,FERMT1,22,23.3333333,22,23.3333333,0,0,55612
TGCT,FERMT2,34,13.3333333,34,13.3333333,0,0,10979
TGCT,FERMT3,2.6666667,76.6666667,2.6666667,76,0,0.6666667,83706
THCA,FERMT1,2.6052104,0,2.6052104,0,0,0,55612
THCA,FERMT2,2.2044088,0.2004008,2.2044088,0.2004008,0,0,10979
THCA,FERMT3,1.002004,1.6032064,1.002004,1.6032064,0,0,83706
THYM,FERMT1,8.1300813,0.8130081,8.1300813,0.8130081,0,0,55612
THYM,FERMT2,10.5691057,2.4390244,10.5691057,2.4390244,0,0,10979
THYM,FERMT3,0.8130081,5.6910569,0.8130081,5.6910569,0,0,83706
UCEC,FERMT1,21.8923933,4.8237477,20.7792208,4.6382189,1.1131725,0.1855288,55612
UCEC,FERMT2,7.7922078,11.3172542,7.2356215,11.3172542,0.5565863,0,10979
UCEC,FERMT3,12.4304267,8.7198516,9.6474954,8.3487941,2.7829314,0.3710575,83706
UCS,FERMT1,62.5,19.6428571,62.5,19.6428571,0,0,55612
UCS,FERMT2,12.5,50,12.5,50,0,0,10979
UCS,FERMT3,32.1428571,32.1428571,21.4285714,30.3571429,10.7142857,1.7857143,83706
UVM,FERMT1,11.25,1.25,11.25,1.25,0,0,55612
UVM,FERMT2,3.75,1.25,3.75,1.25,0,0,10979
UVM,FERMT3,13.75,0,13.75,0,0,0,83706
