0,1
TCGA-E2-A109,Altered
TCGA-BH-A203,Unaltered
TCGA-33-4532,Altered
TCGA-55-8097,Altered
TCGA-62-A46P,Altered
TCGA-77-8140,Altered
TCGA-77-8145,Altered
TCGA-79-5596,Altered
TCGA-85-A4JB,Altered
TCGA-94-7557,Altered
TCGA-94-8490,Altered
TCGA-66-2791,Altered
TCGA-F4-6807,Unaltered
TCGA-LN-A5U7,Unaltered
TCGA-VQ-A92D,Unaltered
TCGA-DD-A3A5,Altered
TCGA-XJ-A9DX,Altered
TCGA-AR-A24S,Unaltered
TCGA-C8-A12L,Unaltered
TCGA-D8-A1J9,Unaltered
TCGA-EY-A1GM,Unaltered
TCGA-13-0904,Altered
TCGA-D1-A1O0,Altered
TCGA-R6-A6XQ,Altered
TCGA-EJ-A46G,Altered
TCGA-IA-A40Y,Altered
TCGA-PG-A914,Altered
TCGA-R6-A6L4,Altered
TCGA-A2-A0CL,Unaltered
TCGA-04-1519,Unaltered
TCGA-04-1646,Unaltered
TCGA-13-A5FU,Unaltered
TCGA-13-0720,Unaltered
TCGA-13-0758,Unaltered
TCGA-13-0887,Unaltered
TCGA-23-1024,Unaltered
TCGA-24-1551,Unaltered
TCGA-24-1557,Unaltered
TCGA-24-1842,Unaltered
TCGA-24-2023,Unaltered
TCGA-29-1769,Unaltered
TCGA-29-1775,Unaltered
TCGA-30-1867,Unaltered
TCGA-30-1887,Unaltered
TCGA-36-2543,Unaltered
TCGA-42-2587,Unaltered
TCGA-59-2363,Unaltered
TCGA-61-2008,Unaltered
TCGA-AJ-A3NH,Unaltered
TCGA-B6-A0WX,Unaltered
TCGA-BR-6458,Unaltered
TCGA-CG-4455,Unaltered
TCGA-CG-5717,Unaltered
TCGA-CQ-A4CB,Unaltered
TCGA-CV-6937,Unaltered
TCGA-CV-6962,Unaltered
TCGA-DD-AAE8,Unaltered
TCGA-DG-A2KK,Unaltered
TCGA-DU-8167,Unaltered
TCGA-DX-A1KZ,Unaltered
TCGA-E1-A7YU,Unaltered
TCGA-FI-A2EY,Unaltered
TCGA-FX-A48G,Unaltered
TCGA-GN-A8LL,Unaltered
TCGA-GS-A9TY,Unaltered
TCGA-IR-A3LK,Unaltered
TCGA-KP-A3VZ,Unaltered
TCGA-L5-A8NI,Unaltered
TCGA-OR-A5LI,Unaltered
TCGA-SI-A71O,Unaltered
TCGA-VS-A953,Unaltered
TCGA-WK-A8XX,Unaltered
TCGA-44-A47A,Altered
TCGA-97-7554,Unaltered
TCGA-78-8662,Altered
TCGA-49-4512,Altered
TCGA-P4-A5E6,Altered
TCGA-24-1417,Unaltered
TCGA-CM-6168,Unaltered
TCGA-CR-6480,Unaltered
TCGA-IB-7888,Unaltered
TCGA-OR-A5JM,Unaltered
TCGA-UY-A78N,Unaltered
TCGA-AX-A0J0,Altered
TCGA-64-5781,Altered
TCGA-AA-3845,Unaltered
TCGA-A5-A0GB,Unaltered
TCGA-EW-A2FV,Altered
TCGA-EY-A548,Altered
TCGA-B5-A0JV,Altered
TCGA-GC-A3RB,Altered
TCGA-BR-8078,Unaltered
TCGA-CK-4951,Unaltered
TCGA-AJ-A23O,Unaltered
TCGA-DA-A1IB,Unaltered
TCGA-RY-A83Y,Unaltered
TCGA-DU-6392,Unaltered
TCGA-IB-7651,Unaltered
TCGA-24-2254,Unaltered
TCGA-28-1750,Unaltered
TCGA-AB-2830,Unaltered
TCGA-AC-A8OS,Unaltered
TCGA-BR-8368,Unaltered
TCGA-D7-6527,Unaltered
TCGA-GN-A26D,Unaltered
TCGA-WS-AB45,Unaltered
TCGA-AA-3977,Altered
TCGA-AX-A1CE,Altered
TCGA-18-3411,Altered
TCGA-44-7670,Altered
TCGA-L9-A7SV,Altered
TCGA-DD-A39X,Altered
TCGA-EY-A215,Altered
TCGA-MF-A522,Altered
TCGA-QG-A5Z2,Altered
TCGA-62-8399,Unaltered
TCGA-AG-A011,Unaltered
TCGA-AJ-A3BH,Unaltered
TCGA-CK-6748,Unaltered
TCGA-AN-A046,Altered
TCGA-A5-A0G2,Altered
TCGA-A8-A09I,Altered
TCGA-AN-A0AK,Altered
TCGA-B2-3923,Altered
TCGA-DD-AADO,Altered
TCGA-G6-A8L8,Altered
TCGA-EO-A3KX,Unaltered
TCGA-AX-A2HC,Unaltered
TCGA-EO-A22X,Unaltered
TCGA-B5-A1MR,Unaltered
TCGA-73-A9RS,Unaltered
TCGA-AC-A23H,Unaltered
TCGA-CZ-5465,Unaltered
TCGA-EM-A2CU,Unaltered
TCGA-HU-8602,Altered
TCGA-D1-A103,Altered
TCGA-EO-A3AV,Altered
TCGA-06-5416,Altered
TCGA-B5-A11E,Altered
TCGA-D3-A2JP,Altered
TCGA-E6-A1LX,Altered
TCGA-EE-A2MJ,Altered
TCGA-FW-A3R5,Altered
TCGA-GN-A266,Altered
TCGA-OD-A75X,Altered
TCGA-A3-A8OU,Altered
TCGA-A5-A0G1,Altered
TCGA-AO-A0JC,Altered
TCGA-DD-AACL,Altered
