Cancer Study	Alteration Frequency	Alteration Type	Alteration Count
Uterine Corpus Endometrial Carcinoma (TCGA, PanCancer Atlas)	2.4574669187145557	multiple	13
Uterine Corpus Endometrial Carcinoma (TCGA, PanCancer Atlas)	6.427221172022684	mrnaExpressionLow	34
Uterine Corpus Endometrial Carcinoma (TCGA, PanCancer Atlas)	4.536862003780719	mrnaExpressionHigh	24
Uterine Corpus Endometrial Carcinoma (TCGA, PanCancer Atlas)	0.1890359168241966	homdel	1
Uterine Corpus Endometrial Carcinoma (TCGA, PanCancer Atlas)	2.835538752362949	amp	15
Uterine Corpus Endometrial Carcinoma (TCGA, PanCancer Atlas)	8.695652173913043	mutated	46
Uterine Carcinosarcoma (TCGA, PanCancer Atlas)	1.7543859649122806	multiple	1
Uterine Carcinosarcoma (TCGA, PanCancer Atlas)	8.771929824561402	mrnaExpressionLow	5
Uterine Carcinosarcoma (TCGA, PanCancer Atlas)	3.508771929824561	mrnaExpressionHigh	2
Uterine Carcinosarcoma (TCGA, PanCancer Atlas)	8.771929824561402	amp	5
Uterine Carcinosarcoma (TCGA, PanCancer Atlas)	1.7543859649122806	mutated	1
Skin Cutaneous Melanoma (TCGA, PanCancer Atlas)	1.3513513513513513	multiple	6
Skin Cutaneous Melanoma (TCGA, PanCancer Atlas)	4.72972972972973	mrnaExpressionLow	21
Skin Cutaneous Melanoma (TCGA, PanCancer Atlas)	6.081081081081082	mrnaExpressionHigh	27
Skin Cutaneous Melanoma (TCGA, PanCancer Atlas)	0.45045045045045046	amp	2
Skin Cutaneous Melanoma (TCGA, PanCancer Atlas)	9.684684684684685	mutated	43
Stomach Adenocarcinoma (TCGA, PanCancer Atlas)	0.6818181818181818	multiple	3
Stomach Adenocarcinoma (TCGA, PanCancer Atlas)	6.363636363636363	mrnaExpressionLow	28
Stomach Adenocarcinoma (TCGA, PanCancer Atlas)	5.454545454545454	mrnaExpressionHigh	24
Stomach Adenocarcinoma (TCGA, PanCancer Atlas)	0.45454545454545453	homdel	2
Stomach Adenocarcinoma (TCGA, PanCancer Atlas)	1.3636363636363635	amp	6
Stomach Adenocarcinoma (TCGA, PanCancer Atlas)	5.454545454545454	mutated	24
Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)	1.4598540145985401	multiple	6
Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)	6.81265206812652	mrnaExpressionLow	28
Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)	5.109489051094891	mrnaExpressionHigh	21
Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)	0.24330900243309003	homdel	1
Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)	1.4598540145985401	amp	6
Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)	3.8929440389294405	mutated	16
Diffuse Large B-Cell Lymphoma (TCGA, PanCancer Atlas)	8.333333333333332	mrnaExpressionLow	4
Diffuse Large B-Cell Lymphoma (TCGA, PanCancer Atlas)	6.25	mrnaExpressionHigh	3
Diffuse Large B-Cell Lymphoma (TCGA, PanCancer Atlas)	4.166666666666666	amp	2
Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)	0.6734006734006733	multiple	4
Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)	1.0101010101010102	protExpressionLow	6
Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)	0.16835016835016833	protExpressionHigh	1
Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)	6.228956228956229	mrnaExpressionLow	37
Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)	5.723905723905724	mrnaExpressionHigh	34
