Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,4659.227,-5.632959949,0.057999454,-97.12091328,0,0
A1CF,232.27701,-0.973416862,0.129231233,-7.532365335,4.98E-14,7.24E-14
A2BP1,78.09943,0.483914939,0.087973259,5.500704945,3.78E-08,4.97E-08
A2LD1,281.77466,-0.286494273,0.023516293,-12.18279886,3.84E-34,7.16E-34
A2ML1,1954.2914,3.359009151,0.085516066,39.27927609,0,0
A2M,42912.96,-1.388134635,0.032684259,-42.47104497,0,0
A4GALT,1458.4003,0.131915481,0.032823916,4.018883103,5.85E-05,7.18E-05
A4GNT,17.735188,1.586691415,0.07037374,22.54664049,1.45E-112,5.38E-112
AAA1,1.8696795,1.519562673,0.097300619,15.61719432,5.56E-55,1.27E-54
AAAS,1850.0806,-0.119941503,0.010667139,-11.24401813,2.48E-29,4.38E-29
AACSL,22.555626,-1.068511187,0.07777917,-13.73775504,6.03E-43,1.23E-42
AACS,1911.6604,0.289971377,0.01717923,16.87918383,6.40E-64,1.59E-63
AADACL2,8.452083,2.651756108,0.127711109,20.76370743,9.22E-96,2.99E-95
AADACL3,1.4332627,0.952583504,0.145149483,6.562775726,5.28E-11,7.31E-11
AADACL4,0.8642916,-1.779375509,0.103332019,-17.21998204,1.88E-66,4.78E-66
AADAC,883.3854,-2.225697586,0.096729645,-23.00946706,3.75E-117,1.44E-116
AADAT,331.4638,-0.27149657,0.031426406,-8.639122483,5.66E-18,8.72E-18
AAGAB,2390.369,0.07378808,0.012119656,6.088298371,1.14E-09,1.54E-09
AAK1,2561.9766,-0.081991343,0.01778956,-4.608958454,4.05E-06,5.10E-06
AAMP,5599.5845,0.016558132,0.010178416,1.626788627,0.103781998,0.114192168
AANAT,3.0433025,-0.161818428,0.043047056,-3.759105551,0.000170522,0.000206634
AARS2,1233.1384,-0.17331054,0.013939293,-12.43323706,1.73E-35,3.27E-35
AARSD1,1354.2092,-0.32918934,0.014485107,-22.7260558,2.48E-114,9.30E-114
AARS,7866.0757,0.065995373,0.01388742,4.752169435,2.01E-06,2.55E-06
AASDHPPT,1927.3059,0.072586939,0.014075484,5.156976366,2.51E-07,3.25E-07
AASDH,543.6966,-0.066304795,0.013191743,-5.02623455,5.00E-07,6.43E-07
AASS,1043.0098,-0.487220167,0.031084183,-15.67421524,2.27E-55,5.22E-55
AATF,3039.1123,0.184256991,0.011979561,15.380947,2.20E-53,4.97E-53
AATK,613.0659,0.695814354,0.040703683,17.0946288,1.63E-65,4.11E-65
ABAT,4255.6025,0.063714692,0.044545056,1.430342603,0.152618713,0.166407689
ABCA10,71.86683,-0.255988937,0.040512609,-6.318747315,2.64E-10,3.60E-10
ABCA11P,206.48688,-0.126692031,0.01726346,-7.338739198,2.16E-13,3.10E-13
ABCA12,475.5942,1.457194953,0.062681958,23.24743831,1.51E-119,5.93E-119
ABCA13,381.97485,2.095230905,0.06014098,34.83865557,6.32E-266,6.56E-265
ABCA17P,49.564556,0.287829562,0.044064346,6.532028451,6.49E-11,8.97E-11
ABCA1,2672.5444,0.061012774,0.024782334,2.461946209,0.013818539,0.015813143
ABCA2,4499.056,-0.094965435,0.02643136,-3.592907644,0.000327009,0.000392962
ABCA3,3913.678,-0.703230882,0.039452341,-17.82482014,4.54E-71,1.20E-70
ABCA4,196.04997,-0.207480234,0.055906991,-3.711167983,0.000206305,0.000249312
ABCA5,927.739,-0.504992751,0.025247238,-20.00190096,5.30E-89,1.62E-88
ABCA6,423.07233,-1.979729597,0.049447316,-40.03714978,0,0
ABCA7,1106.3695,-0.262368557,0.025241225,-10.39444638,2.63E-25,4.44E-25
ABCA8,659.08734,-1.121935682,0.05053401,-22.20159605,3.31E-109,1.20E-108
ABCA9,201.73453,-1.419570979,0.043160732,-32.89033632,3.02E-237,2.62E-236
ABCB10,1026.6317,0.117263244,0.015643026,7.496199488,6.57E-14,9.52E-14
ABCB11,76.64227,-3.561923208,0.094469543,-37.70446114,0,0
ABCB1,1122.168,-0.575536504,0.047080949,-12.22440311,2.30E-34,4.31E-34
ABCB4,484.56448,-3.55958093,0.052246495,-68.13052066,0,0
ABCB5,224.39644,-5.338576053,0.083933856,-63.60456063,0,0
ABCB6,1792.1416,-0.006871269,0.02163017,-0.317670581,0.750734829,0.774354564
ABCB7,947.33234,0.023025177,0.011149307,2.065166685,0.038907232,0.043690697
ABCB8,1875.0071,-0.221916416,0.014463882,-15.34279821,3.96E-53,8.93E-53
ABCB9,405.75717,-0.184465319,0.020377171,-9.052548075,1.40E-19,2.20E-19
ABCC10,1285.4509,0.343349564,0.014468596,23.73067595,1.74E-124,7.07E-124
ABCC11,365.0096,-5.143472483,0.064134669,-80.19800481,0,0
ABCC12,11.970141,-2.684144018,0.101883279,-26.34528488,5.81E-153,2.89E-152
ABCC13,20.04159,-0.105214065,0.088509224,-1.188735594,0.234543729,0.252876968
ABCC1,4458.2666,0.915923747,0.023107472,39.63755703,0,0
ABCC2,650.6689,-1.587085255,0.061436707,-25.83285049,3.79E-147,1.81E-146
ABCC3,3911.4556,0.327259612,0.043619703,7.502563927,6.26E-14,9.07E-14
ABCC4,2645.7349,-1.401765221,0.039832667,-35.19134763,2.71E-271,2.88E-270
ABCC5,3284.1663,1.047541857,0.026989999,38.81222239,0,0
ABCC6P1,105.26731,-1.41331917,0.063437288,-22.27899745,5.91E-110,2.15E-109
ABCC6P2,118.76145,-1.198924071,0.044936591,-26.68035192,7.96E-157,4.08E-156
ABCC6,828.8538,-2.076737487,0.050550859,-41.08214077,0,0
ABCC8,235.1776,0.502430792,0.077364302,6.494349188,8.34E-11,1.15E-10
ABCC9,670.9484,-0.770401692,0.037138788,-20.74385664,1.39E-95,4.51E-95
ABCD1,1486.1774,-0.474560275,0.023809823,-19.93128088,2.18E-88,6.65E-88
ABCD2,78.137436,-0.47532094,0.044573666,-10.66371655,1.50E-26,2.58E-26
ABCD3,3112.6633,-0.171224473,0.018173883,-9.421458035,4.45E-21,7.14E-21
ABCD4,1490.8821,-0.396351286,0.013882871,-28.5496634,2.84E-179,1.69E-178
ABCE1,3191.9502,0.407861117,0.012426213,32.82264002,2.80E-236,2.42E-235
ABCF1,4335.5435,0.142727009,0.01167509,12.22491766,2.29E-34,4.28E-34
ABCF2,3157.9497,0.191804937,0.010715096,17.90044025,1.17E-71,3.11E-71
ABCF3,2960.6724,0.043280835,0.012805292,3.379917722,0.000725075,0.000863264
ABCG1,1879.218,-0.131418168,0.023394043,-5.617591195,1.94E-08,2.56E-08
ABCG2,564.8239,0.067791445,0.041361774,1.638987864,0.101215787,0.111470962
ABCG4,42.569958,-0.239661974,0.045476099,-5.270064537,1.36E-07,1.77E-07
ABCG5,133.66518,-3.220816022,0.06822873,-47.20615529,0,0
ABCG8,172.9679,-3.827209956,0.107096459,-35.73610181,1.09E-279,1.21E-278
ABHD10,1687.4,-0.356138775,0.014147682,-25.17294143,7.93E-140,3.59E-139
ABHD11,2160.7466,-0.165087417,0.024736829,-6.67375013,2.49E-11,3.47E-11
ABHD12B,54.507435,0.234352477,0.0615524,3.807365391,0.000140455,0.000170749
ABHD12,4354.6562,-0.21891059,0.015977935,-13.70080576,1.00E-42,2.05E-42
ABHD13,985.1737,0.183178057,0.01255374,14.5915129,3.18E-48,6.86E-48
ABHD14A,991.5356,-0.903732429,0.02228376,-40.55565245,0,0
ABHD14B,4163.295,-0.599014931,0.02003462,-29.89899094,2.03E-196,1.35E-195
ABHD15,838.4526,-0.070869234,0.017543473,-4.039635459,5.35E-05,6.58E-05
ABHD1,44.13587,-1.321167653,0.035774061,-36.9308832,1.48E-298,1.80E-297
ABHD2,11437.897,0.235988235,0.026206666,9.004893405,2.16E-19,3.39E-19
ABHD3,1208.9635,0.419543305,0.021818537,19.22875538,2.13E-82,6.18E-82
ABHD4,2422.9207,0.096421842,0.017128364,5.629366659,1.81E-08,2.39E-08
ABHD5,1346.9036,0.074846715,0.015680286,4.773300451,1.81E-06,2.30E-06
ABHD6,800.87463,0.021042817,0.027064888,0.777495055,0.436866751,0.461986816
ABHD8,878.0944,-0.756947842,0.020061793,-37.73081794,0,0
ABI1,3328.252,0.598930943,0.011319595,52.91098631,0,0
ABI2,3106.8684,-0.121484037,0.019810242,-6.132385196,8.66E-10,1.17E-09
ABI3BP,1505.5033,-1.080870557,0.043856332,-24.64571283,4.09E-134,1.78E-133
ABI3,599.1899,-0.410861021,0.023540178,-17.45360729,3.23E-68,8.35E-68
ABL1,5248.287,0.001246674,0.014356575,0.086836469,0.930801499,0.939197488
ABL2,2126.6313,-0.076855391,0.017821848,-4.312425531,1.61E-05,2.01E-05
ABLIM1,7570.3936,0.688317099,0.024039377,28.6329011,2.62E-180,1.57E-179
ABLIM2,435.50275,0.838809408,0.033817581,24.80394451,8.13E-136,3.57E-135
ABLIM3,1551.1882,-0.511930967,0.037521607,-13.64363131,2.20E-42,4.48E-42
ABO,215.76436,1.305444603,0.051276059,25.4591448,5.59E-143,2.59E-142
ABP1,3144.1814,0.568618771,0.067419228,8.434074182,3.34E-17,5.07E-17
ABRA,7.306255,-0.264142906,0.063301036,-4.172805438,3.01E-05,3.72E-05
ABR,6024.116,0.295974182,0.022430549,13.19513744,9.36E-40,1.86E-39
ABT1,1578.1599,0.13803501,0.011891075,11.6082869,3.74E-31,6.76E-31
ABTB1,1312.6482,-0.285665511,0.016895248,-16.90803916,3.93E-64,9.80E-64
ABTB2,766.91046,-0.017722844,0.027814167,-0.637187665,0.524002612,0.550331141
ACAA1,3832.6418,-0.717615607,0.022913142,-31.31895296,2.58E-215,1.94E-214
ACAA2,4456.2344,-0.840442753,0.031544231,-26.64331057,2.14E-156,1.09E-155
ACACA,4145.3057,0.163694142,0.020032915,8.171259303,3.05E-16,4.58E-16
ACACB,1554.5315,-1.444266034,0.030984675,-46.61227036,0,0
ACAD10,1475.853,-0.520243887,0.015709628,-33.11624492,1.73E-240,1.54E-239
ACAD11,1640.8513,-1.399318136,0.029032574,-48.19821148,0,0
ACAD8,1421.3973,-0.615813411,0.020049219,-30.7150829,3.58E-207,2.55E-206
ACAD9,2188.8835,0.038419122,0.010448322,3.677061323,0.000235936,0.000284648
ACADL,357.1201,-3.503771027,0.061659133,-56.82485078,0,0
ACADM,2476.8235,-0.554444035,0.020267318,-27.35655615,9.02E-165,4.90E-164
ACADSB,2786.4653,-1.446297881,0.031340893,-46.14730994,0,0
ACADS,1721.0557,-0.481239109,0.027429836,-17.54436701,6.57E-69,1.71E-68
ACADVL,12841.72,-0.547628508,0.017965604,-30.48205307,4.51E-204,3.15E-203
ACAN,510.73117,-0.58860305,0.04830823,-12.18432233,3.77E-34,7.03E-34
ACAP1,533.77686,-1.020096101,0.038476418,-26.51224189,7.00E-155,3.53E-154
ACAP2,2792.8467,0.585639234,0.016671956,35.127207,2.59E-270,2.74E-269
ACAP3,2250.2573,0.438985524,0.021810579,20.12718315,4.27E-90,1.32E-89
ACAT1,4021.876,-1.206812086,0.028516052,-42.32044728,0,0
ACAT2,1603.4692,0.303498337,0.02398117,12.65569334,1.04E-36,2.00E-36
ACBD3,3212.0293,0.202728483,0.013779879,14.71192066,5.41E-49,1.17E-48
ACBD4,791.12286,-1.161365891,0.023876932,-48.63966142,0,0
ACBD5,2103.1733,0.280413207,0.018274984,15.34410137,3.88E-53,8.75E-53
ACBD6,1183.6066,-0.036269503,0.011506581,-3.152065995,0.001621196,0.001909182
ACBD7,334.758,0.398173646,0.042965302,9.267330385,1.91E-20,3.04E-20
ACCN1,56.956192,-0.901572888,0.063550117,-14.18680127,1.11E-45,2.32E-45
ACCN2,716.48096,1.829354524,0.041868109,43.69326861,0,0
ACCN3,86.050545,-0.243298698,0.040043913,-6.075797356,1.23E-09,1.67E-09
ACCN4,290.76276,2.587408541,0.079039213,32.7357578,4.84E-235,4.14E-234
ACCN5,0.41398534,0.319314864,0.121375203,2.630808072,0.008518213,0.009825626
ACCSL,3.8446174,-4.226361744,0.161346248,-26.19436025,3.08E-151,1.52E-150
ACCS,589.01904,-1.07879357,0.023488579,-45.92843112,0,0
ACD,997.41943,0.135673053,0.013455515,10.08308138,6.56E-24,1.09E-23
ACE2,849.64435,-0.125522705,0.063005454,-1.992251409,0.04634348,0.051880948
ACER1,7.3107944,1.371484462,0.07761538,17.67026677,7.11E-70,1.86E-69
ACER2,266.9138,1.021852305,0.035446953,28.8276487,9.66E-183,5.89E-182
ACER3,962.0132,0.4269004,0.019560524,21.82458947,1.36E-105,4.77E-105
ACE,1789.009,-0.210707767,0.031067488,-6.782259599,1.18E-11,1.66E-11
ACHE,432.8235,0.408722769,0.043446529,9.407489554,5.08E-21,8.15E-21
ACIN1,6693.2554,-0.099064719,0.01017725,-9.733938112,2.16E-22,3.53E-22
