,Hugo,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
201,ACTB,233890.72,0.2093004053810499,0.0137267940116573,15.24758113244099,1.708458373797763e-52,3.833205205218058e-52
5524,EMD,2882.855,-0.1653589630969857,0.0121178544463752,-13.645894479814322,2.135766847363698e-42,4.3399617971332e-42
8594,ITGA10,265.38156,-1.9464659075048816,0.0411451076679204,-47.30734752755264,0.0,0.0
8595,ITGA11,1328.6896,-0.1398332779751551,0.0411006465601571,-3.402216015519068,0.0006684178243278,0.0007965067887322
8596,ITGA1,2086.7925,-0.4047640285041072,0.031637443558195,-12.793828545583024,1.7750897093908653e-37,3.4391940800807604e-37
8597,ITGA2B,73.84057,-1.390438301765215,0.0448522332617716,-31.00042518842226,5.319841748438329e-211,3.907166600160748e-210
8598,ITGA2,2674.0305,1.4368746230436882,0.0339104831854838,42.37257886253813,0.0,0.0
8599,ITGA3,13166.841,0.2874371482667438,0.0356227081533093,8.068930274186387,7.091674846979039e-16,1.0583148065358869e-15
8600,ITGA4,1181.2261,-0.930128793180788,0.0374545321608904,-24.833544554376164,3.8942588763688336e-136,1.7168301529665032e-135
8601,ITGA5,6351.883,-0.0088631553822979,0.0291809027325259,-0.3037313637462907,0.7613325613185371,0.7845702376940725
8602,ITGA6,10174.989,1.840384806934458,0.0262051751738935,70.22982272478417,0.0,0.0
8603,ITGA7,1662.0345,-1.116769924054451,0.0365000501388392,-30.59639424621256,1.3668854124588138e-205,9.639217219344991e-205
8604,ITGA8,230.19702,-1.089433059686687,0.0517414146327898,-21.055339662017797,2.0431369284985275e-98,6.784574250089955e-98
8605,ITGA9,577.3119,-1.052249346880263,0.0363590536560318,-28.940504250602164,3.6952198873187247e-184,2.2680428605945708e-183
8606,ITGAD,31.360502,-2.238091722506901,0.0524090014202596,-42.70433822159649,0.0,0.0
8607,ITGAE,632.2127,0.1141729733113056,0.0172577297928285,6.615758543093545,3.69651309018997e-11,5.1345643721892335e-11
8608,ITGAL,1399.5502,-1.0412759463231125,0.0357283879929622,-29.14421850009637,9.889312347355268e-187,6.157079818954309e-186
8609,ITGAM,833.53314,-0.6733364439028674,0.0329184836929912,-20.454661587168705,5.4599803209424916e-93,1.7268873598581357e-92
8610,ITGAV,8079.182,0.2007158220737056,0.0229489211410512,8.746198605156358,2.206605898462007e-18,3.4204575519101568e-18
8611,ITGAX,1140.9297,-0.4983470143485394,0.0312225295571038,-15.961135161617756,2.3835641445697776e-57,5.590022165568034e-57
8615,ITGB1,23310.725,0.0209795046058009,0.0184766431832963,1.1354608300693554,0.2561822848358427,0.2755211377164776
8616,ITGB2,4903.7603,-0.6584024842034586,0.0311247461977522,-21.15366596149167,2.553092648227657e-99,8.549081122576788e-99
8618,ITGB3,1107.8042,-2.0859842750356448,0.0432702675552773,-48.20825922490128,0.0,0.0
8619,ITGB4,12088.66,1.972860048877068,0.035975449676963,54.8390657126489,0.0,0.0
8620,ITGB5,7625.4683,-0.1400543818180754,0.0215986127334315,-6.4844156218094335,8.907635809370967e-11,1.2274980197846455e-10
8621,ITGB6,2860.9648,1.0401306649322246,0.0589454260155173,17.645655231305145,1.0989222944473588e-69,2.8727476878086517e-69
8622,ITGB7,640.1314,-0.4513311422219671,0.0310018117493776,-14.558218270292766,5.1790102582380206e-48,1.1136403659428378e-47
8623,ITGB8,3900.2178,-0.0773986205070361,0.0420081547518545,-1.842466563081284,0.0654069331228383,0.0727780374623088
9610,LMNB1,2471.7854,0.4903682358984556,0.0274945095804546,17.83513302768815,3.771510192529687e-71,9.978450423614284e-71
9611,LMNB2,4642.2944,0.8840312842619672,0.0198062737824348,44.63390206420184,0.0,0.0
13521,PLCB2,1011.5333,-0.8684282795418151,0.0318669524709737,-27.251689044719,1.586996743866286e-163,8.549792725158432e-163
14412,PXN,7312.8354,0.1463062903055134,0.0156169336558606,9.368438998945775,7.361313659871947e-21,1.178030064465752e-20
14601,RAP1A,2791.7554,-0.1173566280952233,0.0135859598557246,-8.638081470980756,5.7164848069774916e-18,8.798814106392586e-18
14602,RAP1B,4811.0806,0.0506347562643353,0.0145708354396971,3.4750757068043514,0.0005107091962271,0.0006106853357211
17463,SUN1,5445.868,0.1644240489760903,0.0126701200183317,12.977307929064075,1.645636346830316e-38,3.222111019919062e-38
17464,SUN2,7713.8096,-0.0891294056351006,0.0169998529954045,-5.242951551357216,1.5802804466336456e-07,2.054071992148017e-07
17465,SUN3,5.3467755,0.067969665316334,0.078494904482283,0.8659118163737034,0.3865385226156848,0.4107060060504528
17466,SUN5,0.02298417,-0.1676986182867918,0.9451168999604128,-0.1774369057349583,0.8591652206211604,0.8749809777713073
17519,SYNE1,3123.5625,-0.7808185466434602,0.0304746977422402,-25.621863529139645,8.707095163734583e-145,4.0788713860670135e-144
17520,SYNE2,6792.056,0.1647336426699766,0.0219904845548076,7.491132915211813,6.828162426789562e-14,9.893570482315045e-14
17672,TAZ,1036.6992,0.0165293616384584,0.0149539923703142,1.1053477378570549,0.2690089400847837,0.2889039938379549
18037,TLN1,19043.738,-0.2729097547436486,0.0165867514595693,-16.453478272033784,7.918710739894276e-61,1.918793524797757e-60
18038,TLN2,1954.1958,-0.2078084381194714,0.0276609044718474,-7.512713054302829,5.791437919097071e-14,8.402785390172266e-14
19669,YAP1,6025.6074,0.2801080552441318,0.0249321103593558,11.234831356304358,2.750184971710934e-29,4.8637088115933715e-29
20496,ZYX,10635.733,-0.0691046518060358,0.0185829397561415,-3.7187147304396224,0.0002002390323152,0.0002421110855746
