Hugo,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,4256.062,4.216450643321448,0.2554761677194294,16.504281714261758,3.417755104629281e-61,2.9080637998954362e-58
A1CF,217.7369,2.4265603977933634,0.5222788423607448,4.646101279586789,3.3826697850215716e-06,2.65326042857203e-05
A2BP1,84.430954,2.9302712119808785,0.35551428952503655,8.242344396045771,1.6886865844133033e-16,4.789506732893963e-15
A2LD1,280.52667,-0.10812350760470232,0.09509315514675845,-1.1370272385834077,0.25552689899543446,0.3830163459972926
A2ML1,1607.3298,1.8342473852822114,0.35466813038983064,5.171728802545955,2.3193804340962288e-07,2.2109242618248022e-06
A2M,42350.34,0.34460601477840236,0.13779130950830065,2.5009270614243135,0.012386868666111025,0.03497489825361315
A4GALT,1451.8783,0.21701501176496935,0.13222365833792796,1.6412721784655027,0.10074092863171959,0.18826393939292896
A4GNT,19.564348,0.832930885578316,0.2960038818358679,2.81391879191696,0.004894159033888781,0.01620072603065011
AAA1,1.9170419,-1.0715492493937748,0.4009412875652613,-2.6725839483900957,0.007526953876183918,0.02316805400391936
AAAS,1855.649,0.005911111704080781,0.04326528392132414,0.1366248217584763,0.8913273555529755,0.9291477415077664
AACSL,23.985622,1.7335268943262345,0.3186835545019492,5.439649677045483,5.338544186834733e-08,5.727813033791432e-07
AACS,1896.5226,-0.056690438671022976,0.06975163832409267,-0.8127470555977139,0.4163630962959256,0.5504070382674456
AADACL2,8.216576,3.0635503579719185,0.5510704470595745,5.559271730717086,2.7090264909122237e-08,3.059183406067641e-07
AADACL3,1.7086856,1.6727717558414132,0.6202515888063526,2.6969245803313306,0.006998311859363439,0.021860648537548683
AADACL4,0.88378686,-0.8259307752018419,0.389810872570607,-2.118798713220191,0.034107481555037907,0.07942449000857828
AADAC,791.13544,2.9814899109544246,0.3883393022631003,7.677538414421061,1.6217462385718795e-14,3.910023759700287e-13
AADAT,331.32904,0.05570964872208268,0.12643191280365934,0.4406296439459568,0.6594811384431414,0.7613634375117377
AAGAB,2371.713,-0.13370534026216238,0.048034108530298526,-2.783549947176076,0.005376758321233395,0.01753427101258749
AAK1,2548.198,0.3414792047540497,0.07133812535215306,4.7867700905844375,1.6948680054253799e-06,1.399517589290071e-05
AAMP,5587.997,0.05724167202113291,0.04116841569308285,1.3904268856950623,0.1643992870171097,0.27514296573148855
