STUDY_ID	SAMPLE_ID	FERMT1	FERMT2	FERMT3
laml_tcga_pan_can_atlas_2018	TCGA-AB-2989-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-3008-03	-1.6147	1.0822	0.227
laml_tcga_pan_can_atlas_2018	TCGA-AB-2863-03	1.0333	0.3489	-1.2338
laml_tcga_pan_can_atlas_2018	TCGA-AB-2844-03	1.2238	0.0421	-0.2862
laml_tcga_pan_can_atlas_2018	TCGA-AB-2955-03	-1.6147	-0.8653	-1.7085
laml_tcga_pan_can_atlas_2018	TCGA-AB-2897-03	-0.3303	0.7792	-0.4766
laml_tcga_pan_can_atlas_2018	TCGA-AB-3012-03	-1.6147	1.451	-0.898
laml_tcga_pan_can_atlas_2018	TCGA-AB-2837-03	0.2402	-0.3972	0.7751
laml_tcga_pan_can_atlas_2018	TCGA-AB-3006-03	-0.5299	-0.834	-0.0021
laml_tcga_pan_can_atlas_2018	TCGA-AB-2990-03	0.8508	-0.8176	-1.2485
laml_tcga_pan_can_atlas_2018	TCGA-AB-2865-03	-1.3253	-0.7866	1.834
laml_tcga_pan_can_atlas_2018	TCGA-AB-2878-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2886-03	1.1391	-0.0655	0.0041
laml_tcga_pan_can_atlas_2018	TCGA-AB-2825-03	-0.8379	-0.8029	1.1342
laml_tcga_pan_can_atlas_2018	TCGA-AB-2954-03	-1.6147	-1.1378	0.7243
laml_tcga_pan_can_atlas_2018	TCGA-AB-2932-03	-1.6147	-0.0103	1.9233
laml_tcga_pan_can_atlas_2018	TCGA-AB-2861-03	1.4467	0.5214	-1.3305
laml_tcga_pan_can_atlas_2018	TCGA-AB-2877-03	-0.5682	-0.8882	-1.8043
laml_tcga_pan_can_atlas_2018	TCGA-AB-2854-03	-0.487	1.2878	0.1142
laml_tcga_pan_can_atlas_2018	TCGA-AB-2965-03	-0.295	0.209	-0.837
laml_tcga_pan_can_atlas_2018	TCGA-AB-2983-03	-1.6147	0.9127	-0.4853
laml_tcga_pan_can_atlas_2018	TCGA-AB-2871-03	-0.9216	-0.7342	0.0575
laml_tcga_pan_can_atlas_2018	TCGA-AB-2858-03	-0.8432	0.869	0.5456
laml_tcga_pan_can_atlas_2018	TCGA-AB-2833-03	-1.6147	0.3239	0.7196
laml_tcga_pan_can_atlas_2018	TCGA-AB-2831-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-3002-03	-1.0465	0.4298	0.5198
laml_tcga_pan_can_atlas_2018	TCGA-AB-2807-03	0.411	1.7476	-0.5402
laml_tcga_pan_can_atlas_2018	TCGA-AB-2934-03	-1.0098	-0.7287	0.8882
laml_tcga_pan_can_atlas_2018	TCGA-AB-2940-03	-0.6665	0.6097	-0.2575
laml_tcga_pan_can_atlas_2018	TCGA-AB-2909-03	0.5617	-1.9991	0.5002
laml_tcga_pan_can_atlas_2018	TCGA-AB-2815-03	-1.6147	0.9274	-0.3524
laml_tcga_pan_can_atlas_2018	TCGA-AB-2945-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2973-03	-1.6147	0.6494	0.8319
laml_tcga_pan_can_atlas_2018	TCGA-AB-2905-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2816-03	-1.2805	-1.9991	-0.0753
laml_tcga_pan_can_atlas_2018	TCGA-AB-2922-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2868-03	0.0597	-0.1255	-0.1417
laml_tcga_pan_can_atlas_2018	TCGA-AB-2813-03	-1.1107	0.7667	1.1193
laml_tcga_pan_can_atlas_2018	TCGA-AB-2889-03	-1.6147	0.6653	0.5409
laml_tcga_pan_can_atlas_2018	TCGA-AB-2988-03	-1.6147	-1.039	-0.092
laml_tcga_pan_can_atlas_2018	TCGA-AB-2829-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2901-03	-0.9898	1.0995	0.3324
laml_tcga_pan_can_atlas_2018	TCGA-AB-2841-03	-1.6147	-0.0179	0.5196
laml_tcga_pan_can_atlas_2018	TCGA-AB-2859-03	-0.5372	-0.0528	1.1172
laml_tcga_pan_can_atlas_2018	TCGA-AB-2999-03	-1.321	0.6755	-2.2083
laml_tcga_pan_can_atlas_2018	TCGA-AB-2845-03	-1.6147	-0.0374	-0.0006
laml_tcga_pan_can_atlas_2018	TCGA-AB-3009-03	-1.6147	1.5988	-0.4036
laml_tcga_pan_can_atlas_2018	TCGA-AB-2896-03	0.411	-1.606	0.4228
laml_tcga_pan_can_atlas_2018	TCGA-AB-2920-03	1.7556	-1.3072	1.9091
laml_tcga_pan_can_atlas_2018	TCGA-AB-2914-03	-1.0107	-1.0828	-1.0991
laml_tcga_pan_can_atlas_2018	TCGA-AB-2950-03	-1.3375	1.0232	-0.4905
laml_tcga_pan_can_atlas_2018	TCGA-AB-2977-03	0.3668	-1.9991	1.8592
laml_tcga_pan_can_atlas_2018	TCGA-AB-2930-03	-1.6147	-1.9991	-0.1604
laml_tcga_pan_can_atlas_2018	TCGA-AB-2956-03	0.7515	-0.9596	0.0349
laml_tcga_pan_can_atlas_2018	TCGA-AB-2985-03	-0.2485	0.9516	0.3317
laml_tcga_pan_can_atlas_2018	TCGA-AB-2864-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2802-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2855-03	-0.0415	-0.6631	-0.2212
laml_tcga_pan_can_atlas_2018	TCGA-AB-2918-03	-1.6147	-0.6929	0.7695
laml_tcga_pan_can_atlas_2018	TCGA-AB-2821-03	1.8575	1.9174	-0.2548
laml_tcga_pan_can_atlas_2018	TCGA-AB-3005-03	0.98	-1.1323	-0.307
laml_tcga_pan_can_atlas_2018	TCGA-AB-2893-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2912-03	-1.6147	0.4508	-1.4441
laml_tcga_pan_can_atlas_2018	TCGA-AB-2994-03	-1.6147	0.4069	0.1896
